id,MPA_Name,Site_ID,Site_Name,Year,Latitude,Longitude,Zone,Percent.Coral,SE.Coral,Percent.SoftCoral,SE.SoftCoral,Percent.CCA,SE.CCA,Percent.Bleached,SE.Bleached,Percent.Rubble,SE.Rubble,Percent.OthAlgae,SE.OthAlgae
61,Kofiau dan Pulau Boo Marine Protected Area,2216,Pamali,2009,-1.27,129.77,Use,21.333,4.05517502,6.333,2.02758751,0,0,0,0,39.667,5.206833117,3.667,0.881917104
62,Kofiau dan Pulau Boo Marine Protected Area,2216,Pamali,2011,-1.27,129.77,Use,24.667,5.364492313,7.333,2.848001248,0.667,0.333333333,0,0,39,2.516611478,2,0
63,Kofiau dan Pulau Boo Marine Protected Area,2216,Pamali,2016,-1.27,129.77,Use,12.333,2.848001248,10.667,2.40370085,0,0,0,0,44.333,11.28912948,3.333,1.201850425
64,Kofiau dan Pulau Boo Marine Protected Area,2217,Walo,2009,-1.26,129.66,NTZ,38.333,2.333333333,6.667,3.48010217,0,0,0,0,27.667,2.333333333,2,0.577350269
65,Kofiau dan Pulau Boo Marine Protected Area,2217,Walo,2010,-1.26,129.66,NTZ,28.667,3.382963855,2.333,1.333333333,12,3.511884584,0,0,27.333,4.484541349,5.667,1.855921454
66,Kofiau dan Pulau Boo Marine Protected Area,2217,Walo,2011,-1.26,129.66,NTZ,34,3.605551275,4,1,2.667,0.333333333,0,0,27.333,1.452966315,0.667,0.333333333
67,Kofiau dan Pulau Boo Marine Protected Area,2217,Walo,2013,-1.26,129.66,NTZ,18.333,1.666666667,4,0.577350269,8,2,0,0,16,5.567764363,12.333,4.910306621
68,Kofiau dan Pulau Boo Marine Protected Area,2217,Walo,2014,-1.26,129.66,NTZ,20.333,6.839428176,1.667,1.201850425,4.333,2.962731472,0,0,40.667,7.838650678,2,0.577350269
69,Kofiau dan Pulau Boo Marine Protected Area,2217,Walo,2016,-1.26,129.66,NTZ,21,2.081665999,7,4.041451884,0.333,0.333333333,0,0,36,9,5.667,2.728450924
70,Kofiau dan Pulau Boo Marine Protected Area,2218,Cina,2009,-1.25,129.68,NTZ,44,5.033222957,31,5.567764363,0,0,0,0,3.667,1.201850425,15.667,6.489307445
71,Kofiau dan Pulau Boo Marine Protected Area,2219,Gebe Kecil,2009,-1.23,129.65,NTZ,39,4.163331999,35,6.658328118,0,0,0,0,17.333,2.333333333,1.333,0.333333333
72,Kofiau dan Pulau Boo Marine Protected Area,2219,Gebe Kecil,2010,-1.23,129.65,NTZ,24.333,1.333333333,5.333,2.962731472,3.333,0.333333333,0,0,12.333,4.05517502,1.333,0.666666667
73,Kofiau dan Pulau Boo Marine Protected Area,2220,Gebe Besar,2009,-1.2,129.65,Use,40,5,4.333,1.855921454,0,0,0,0,30.333,6.641619615,3.333,0.333333333
